stop_id,min_travel_min,stop_name,stop_lat,stop_lon
at:43:3895:0:4,8,Kledering Bahnhof,48.13300668,16.43931343
at:43:4045:0:3,10,Langenzersdorf Bahnhof,48.30636955,16.35613842
at:43:4054:0:4,10,Lanzendorf-Rannersdorf Bahnhof,48.11326007,16.4473264
at:43:3963:0:1,11,Korneuburg Bahnhof,48.34346156,16.32856912
at:43:3170:0:3,12,Bisamberg Bahnhof,48.31604833,16.34755053
at:43:3734:0:1,13,Himberg Bahnhof,48.08189456,16.44516146
at:43:4603:0:4,13,Purkersdorf Zentrum Bahnhof,48.20594268,16.1754962
at:43:4165:0:3,14,Maria Lanzendorf Bahnhof,48.10245709,16.41946965
at:43:3538:0:4,15,Gramatneusiedl Bahnhof,48.03570542,16.48991553
at:43:3723:0:3,15,Hennersdorf Bahnhof,48.11274426,16.35850997
at:43:3279:0:4,15,Deutsch-Wagram Bahnhof,48.30328629,16.56514944
at:43:4601:0:4,16,Purkersdorf Sanatorium Bhf.,48.20638571,16.20106225
at:43:5068:0:4,17,Tullnerbach-Pressbaum Bahnhof,48.18619418,16.09325544
at:43:3292:0:4,18,Helmahof Bahnhof,48.31018751,16.5966803
at:43:3655:0:3,18,Götzendorf Bahnhof,48.02564915,16.58696053
at:43:3008:0:1,18,Achau Bahnhof,48.08110837,16.37794952
at:43:4605:0:4,18,Unterpurkersdorf Bahnhof,48.20772075,16.19022857
at:43:4083:0:2,18,Leobendorf-Burg Kreuzenstein Bhf.,48.36456388,16.30205086
at:43:5759:0:7,19,Tullnerfeld Bahnhof,48.29525462,15.9962284
at:43:4884:0:1,19,Stockerau Bahnhof,48.38238809,16.21320748
at:43:3499:0:2,19,Gerasdorf Bahnhof,48.29401748,16.48404055
at:43:4574:0:2,20,Pressbaum Bahnhof,48.18124688,16.07745407
at:43:3101:0:1,20,Baden Bahnhof,48.00420846,16.24287883
at:43:4067:0:2,21,Laxenburg-Biedermannsdorf Bhf.,48.07750138,16.35665046
at:43:4922:0:4,21,Strasshof Bahnhof,48.31877239,16.6350204
at:43:4239:0:1,21,Mödling Bahnhof,48.08571728,16.29566384
at:43:3852:0:4,22,Kapellerfeld Bahnhof,48.3169265,16.49515271
at:43:4814:0:1,22,Spillern Bahnhof,48.3758129,16.25685661
at:43:4231:0:7,23,Münchendorf Bahnhof,48.03225142,16.38625893
at:43:4764:0:1,23,Siebenbrunn-Leopoldsdorf Bahnhof,48.24566211,16.70397508
at:43:4417:0:2,23,Obersdorf Bahnhof,48.36230782,16.51664939
at:43:5094:0:2,24,Untertullnerbach Bahnhof,48.19151828,16.12760701
at:43:4759:0:3,24,Seyring Bahnhof,48.33088555,16.50192601
at:43:4092:0:1,24,Kledering Bahnhofplatz,48.13175962,16.43866665
at:43:4790:0:4,25,Silberwald Bahnhof,48.32815019,16.67779817
at:43:4710:0:4,26,Schwechat Bahnhof,48.14346157,16.48160612
at:43:5274:0:1,26,Wolkersdorf Bahnhof,48.37873663,16.51261596
at:43:4848:0:16,26,St. Pölten Hauptbahnhof,48.20837928,15.62464927
at:43:3209:0:5,27,Bruck/Leitha Bahnhof,48.01892586,16.78145477
at:43:3617:0:1,27,Guntramsdorf Kaiserau Bahnhof,48.04421026,16.32506569
at:43:4613:0:3,27,Raasdorf Bahnhof,48.23906928,16.58253184
at:43:5013:0:1,28,Trautmannsdorf/Leitha Bhf.,48.02417118,16.64235065
at:43:3347:0:3,28,Eichgraben-Altlengbach Bahnhof,48.17348357,15.98163976
at:43:4745:0:2,28,Schönfeld-Lassee Bahnhof,48.25118939,16.80718252
